high_risk_cohort,elig_start,prop_redacted,elig_redacted,treat_redacted
rare_neurological_conditions,2023-04-22,0.5,40,20
rare_neurological_conditions,2023-04-29,0.25,40,10
rare_neurological_conditions,2023-05-06,0.6667,30,20
rare_neurological_conditions,2023-05-13,0.3333,30,10
rare_neurological_conditions,2023-05-20,0.5,20,10
rare_neurological_conditions,2023-05-27,NA,20,NA
rare_neurological_conditions,2023-06-03,NA,30,NA
rare_neurological_conditions,2023-06-10,NA,20,NA
rare_neurological_conditions,2023-06-17,NA,10,NA
rare_neurological_conditions,2023-06-24,NA,10,NA
rare_neurological_conditions,2023-07-01,NA,NA,NA
rare_neurological_conditions,2023-07-08,NA,10,NA
rare_neurological_conditions,2023-07-15,NA,10,NA
rare_neurological_conditions,2023-07-22,NA,10,NA
rare_neurological_conditions,2023-07-29,NA,10,NA
rare_neurological_conditions,2023-08-05,NA,20,NA
rare_neurological_conditions,2023-08-12,NA,20,NA
rare_neurological_conditions,2023-08-19,NA,30,NA
rare_neurological_conditions,2023-08-26,NA,30,NA
rare_neurological_conditions,2023-09-02,NA,20,NA
rare_neurological_conditions,2023-09-09,NA,30,NA
rare_neurological_conditions,2023-09-16,NA,30,NA
rare_neurological_conditions,2023-09-23,NA,50,NA
rare_neurological_conditions,2023-09-30,NA,50,NA
rare_neurological_conditions,2023-10-07,NA,50,NA
rare_neurological_conditions,2023-10-14,NA,20,NA
rare_neurological_conditions,2023-10-21,NA,30,NA
rare_neurological_conditions,2023-10-28,NA,20,NA
rare_neurological_conditions,2023-11-04,NA,20,NA
rare_neurological_conditions,2023-11-11,NA,10,NA
rare_neurological_conditions,2023-11-18,NA,10,NA
rare_neurological_conditions,2023-11-25,NA,NA,NA
rare_neurological_conditions,2023-12-02,NA,10,NA
rare_neurological_conditions,2023-12-09,NA,20,NA
rare_neurological_conditions,2023-12-16,NA,20,NA
rare_neurological_conditions,2023-12-23,NA,20,NA
rare_neurological_conditions,2023-12-30,NA,20,NA
rare_neurological_conditions,2024-01-06,NA,20,NA
rare_neurological_conditions,2024-01-13,NA,10,NA
rare_neurological_conditions,2024-01-20,NA,20,NA
rare_neurological_conditions,2024-01-27,NA,10,NA
rare_neurological_conditions,2024-02-03,NA,NA,NA
rare_neurological_conditions,2024-02-10,NA,10,NA
rare_neurological_conditions,2024-02-17,NA,NA,NA
rare_neurological_conditions,2024-02-24,NA,NA,NA
rare_neurological_conditions,2024-03-02,NA,NA,NA
rare_neurological_conditions,2024-03-09,NA,NA,NA
rare_neurological_conditions,2024-03-16,NA,NA,NA
rare_neurological_conditions,2024-03-23,NA,NA,NA
rare_neurological_conditions,2024-03-30,NA,NA,NA
rare_neurological_conditions,2024-04-06,NA,NA,NA
rare_neurological_conditions,2024-04-13,NA,NA,NA
rare_neurological_conditions,2024-04-20,NA,NA,NA
rare_neurological_conditions,2024-04-27,NA,NA,NA
